"SUID","EdgeBetweenness","interaction","MI sano","MI_","name","selected","shared interaction","shared name"
"35691","8426.0","0.17853",,"0.17853","EXTL2 (0.17853) SDHD","false","0.17853","EXTL2 (0.17853) SDHD"
"35692","4.0","0.177078",,,"EXTL3 (0.177078) MLST8","false","0.177078","EXTL3 (0.177078) MLST8"
"35693","4.0","0.268892",,,"F2R (0.268892) F2RL2","false","0.268892","F2R (0.268892) F2RL2"
"35694","4.0","0.192393",,,"F2RL2 (0.192393) PDZRN4","false","0.192393","F2RL2 (0.192393) PDZRN4"
"35695","5016.22725308","0.184206",,"0.184206","IFNGR1 (0.184206) ZFAND5","false","0.184206","IFNGR1 (0.184206) ZFAND5"
"35696","8426.0","0.204735",,"0.204735","FADD (0.204735) ORAOV1","false","0.204735","FADD (0.204735) ORAOV1"
"35697","3654.11503347","0.187067",,"0.187067","TENM4 (0.187067) VLDLR-AS1","false","0.187067","TENM4 (0.187067) VLDLR-AS1"
"35698","4083.12772633","0.254807",,"0.254807","TENM4 (0.254807) VLDLR","false","0.254807","TENM4 (0.254807) VLDLR"
"35699","2.0","0.202969",,,"FAM102B (0.202969) TENM1","false","0.202969","FAM102B (0.202969) TENM1"
"35700","8426.0","0.184161",,"0.184161","FAM117A (0.184161) MAP7D1","false","0.184161","FAM117A (0.184161) MAP7D1"
"35701","8426.0","0.190252",,"0.190252","FAM117B (0.190252) P4HA1","false","0.190252","FAM117B (0.190252) P4HA1"
"35702","25266.0","0.186651",,"0.186651","P4HA1 (0.186651) SIGIRR","false","0.186651","P4HA1 (0.186651) SIGIRR"
"35703","8426.0","0.189609",,"0.189609","P4HA1 (0.189609) ZBTB18","false","0.189609","P4HA1 (0.189609) ZBTB18"
"35704","8426.0","0.182419",,"0.182419","FAM122B (0.182419) WASF1","false","0.182419","FAM122B (0.182419) WASF1"
"35705","25266.0","0.177449",,"0.177449","JAG2 (0.177449) PVRL1","false","0.177449","JAG2 (0.177449) PVRL1"
"35706","18768.7072491","0.179187",,"0.179187","MED24 (0.179187) UBE2D4","false","0.179187","MED24 (0.179187) UBE2D4"
"35707","21673.13537634","0.181468",,"0.181468","MED24 (0.181468) SOWAHA","false","0.181468","MED24 (0.181468) SOWAHA"
"35708","2287.75243659","0.184142",,"0.184142","MED24 (0.184142) ZNF358","false","0.184142","MED24 (0.184142) ZNF358"
"35709","22477.97320741","0.184182",,"0.184182","MED24 (0.184182) NUPR1","false","0.184182","MED24 (0.184182) NUPR1"
"35710","12885.39933506","0.202458",,"0.202458","MED24 (0.202458) PSMD3","false","0.202458","MED24 (0.202458) PSMD3"
"35711","5915.86758741","0.185773",,"0.185773","NOC4L (0.185773) RAB13","false","0.185773","NOC4L (0.185773) RAB13"
"35712","3207.99695674","0.212429",,"0.212429","FAM192A (0.212429) GOT2","false","0.212429","FAM192A (0.212429) GOT2"
"35713","20500.04446673","0.198882",,"0.198882","PHF3 (0.198882) TBCA","false","0.198882","PHF3 (0.198882) TBCA"
"35714","3202.80082419","0.176842",,"0.176842","GSTO2 (0.176842) RHOT1","false","0.176842","GSTO2 (0.176842) RHOT1"
"35715","1970.54181545","0.220439",,"0.220439","GSTO2 (0.220439) MTMR1","false","0.220439","GSTO2 (0.220439) MTMR1"
"35716","2.0","0.185902",,,"FAM127B (0.185902) PSMB2","false","0.185902","FAM127B (0.185902) PSMB2"
"35717","8426.0","0.184503",,"0.184503","FAM127C (0.184503) HOXA10","false","0.184503","FAM127C (0.184503) HOXA10"
"35718","19057.56642521","0.174691",,"0.174691","HOXA10 (0.174691) NATD1","false","0.174691","HOXA10 (0.174691) NATD1"
"35719","5656.93073867","0.181222",,"0.181222","HOXA10 (0.181222) NDUFAF1","false","0.181222","HOXA10 (0.181222) NDUFAF1"
"35720","4193.63597277","0.196805",,"0.196805","HOXA10 (0.196805) MAP7D1","false","0.196805","HOXA10 (0.196805) MAP7D1"
"35721","8426.0","0.202218",,"0.202218","FAM129A (0.202218) TGFB1I1","false","0.202218","FAM129A (0.202218) TGFB1I1"
"35722","8426.0","0.181707",,"0.181707","FAM134A (0.181707) WASF2","false","0.181707","FAM134A (0.181707) WASF2"
"35723","2.0","0.29756",,,"FAM13C (0.29756) PHYHIPL","false","0.29756","FAM13C (0.29756) PHYHIPL"
"35724","31591.39810785","0.17598",,"0.17598","SDC3 (0.17598) VPS4B","false","0.17598","SDC3 (0.17598) VPS4B"
"35725","50864.08606957","0.184668",,"0.184668","SDC3 (0.184668) TMEM254","false","0.184668","SDC3 (0.184668) TMEM254"
"35726","18231.70746729","0.200153",,"0.200153","VDAC3 (0.200153) ZNF106","false","0.200153","VDAC3 (0.200153) ZNF106"
"35727","1003.66477374","0.190218",,"0.190218","TBC1D9 (0.190218) TIMMDC1","false","0.190218","TBC1D9 (0.190218) TIMMDC1"
"35728","4969.22495997","0.176064",,"0.176064","MATN2 (0.176064) ZNF770","false","0.176064","MATN2 (0.176064) ZNF770"
"35729","6672.43897057","0.17909",,"0.17909","MATN2 (0.17909) NPY5R","false","0.17909","MATN2 (0.17909) NPY5R"
"35730","4981.67995088","0.186777",,"0.186777","MATN2 (0.186777) WNK2","false","0.186777","MATN2 (0.186777) WNK2"
"35731","2826.83858005","0.187072",,"0.187072","MATN2 (0.187072) S100A16","false","0.187072","MATN2 (0.187072) S100A16"
"35732","695.25073027","0.197257",,"0.197257","MATN2 (0.197257) NTF4","false","0.197257","MATN2 (0.197257) NTF4"
"35733","3912.82860815","0.202598",,"0.202598","MATN2 (0.202598) NTRK2","false","0.202598","MATN2 (0.202598) NTRK2"
"35734","2773.72083816","0.191518",,"0.191518","MON2 (0.191518) SPATA2L","false","0.191518","MON2 (0.191518) SPATA2L"
"35735","1991.54744103","0.192559",,"0.192559","MON2 (0.192559) PPP2CA","false","0.192559","MON2 (0.192559) PPP2CA"
"35736","4464.86706657","0.207839",,"0.207839","MON2 (0.207839) ZBTB21","false","0.207839","MON2 (0.207839) ZBTB21"
"35737","1830.99992106","0.220149",,"0.220149","MON2 (0.220149) TSC22D2","false","0.220149","MON2 (0.220149) TSC22D2"
"35738","8426.0","0.176032",,"0.176032","FAM160B2 (0.176032) ZBTB20","false","0.176032","FAM160B2 (0.176032) ZBTB20"
"35739","8941.38079602","0.176371",,"0.176371","PPP1R2 (0.176371) SCOC","false","0.176371","PPP1R2 (0.176371) SCOC"
"35740","15172.28263097","0.18595",,"0.18595","PPP1R2 (0.18595) TMED7","false","0.18595","PPP1R2 (0.18595) TMED7"
"35741","10451.46372936","0.187387",,"0.187387","PPP1R2 (0.187387) TMEM106B","false","0.187387","PPP1R2 (0.187387) TMEM106B"
"35742","8426.0","0.177277",,"0.177277","FAM175A (0.177277) PSAT1","false","0.177277","FAM175A (0.177277) PSAT1"
"35743","2.0","0.175482",,,"FAM177A1 (0.175482) UBE2K","false","0.175482","FAM177A1 (0.175482) UBE2K"
"35744","794.09143238","0.175274",,"0.175274","MLF1 (0.175274) ZKSCAN4","false","0.175274","MLF1 (0.175274) ZKSCAN4"
"35745","595.64481479","0.183445",,"0.183445","MLF1 (0.183445) ZNF621","false","0.183445","MLF1 (0.183445) ZNF621"
"35746","4215.10273118","0.19539",,"0.19539","MLF1 (0.19539) SPATA2L","false","0.19539","MLF1 (0.19539) SPATA2L"
"35747","2068.60588803","0.210578",,"0.210578","MLF1 (0.210578) PLK3","false","0.210578","MLF1 (0.210578) PLK3"
"35748","267.77839316","0.214008",,"0.214008","MLF1 (0.214008) MYADM","false","0.214008","MLF1 (0.214008) MYADM"
"35749","3642.7892827","0.238461",,"0.238461","MLF1 (0.238461) ZBTB21","false","0.238461","MLF1 (0.238461) ZBTB21"
"35750","8426.0","0.185678",,"0.185678","FAM179B (0.185678) TMPRSS2","false","0.185678","FAM179B (0.185678) TMPRSS2"
"35751","9406.60112042","0.176227",,"0.176227","HDX (0.176227) MTHFD1","false","0.176227","HDX (0.176227) MTHFD1"
"35752","12165.20485799","0.176475",,"0.176475","HDX (0.176475) RBM47","false","0.176475","HDX (0.176475) RBM47"
"35753","4870.17269132","0.178203",,"0.178203","HDX (0.178203) VTI1B","false","0.178203","HDX (0.178203) VTI1B"
"35754","13592.20140611","0.194578",,"0.194578","HDX (0.194578) HHIPL1","false","0.194578","HDX (0.194578) HHIPL1"
"35755","9061.4040905","0.195623",,"0.195623","HDX (0.195623) UGP2","false","0.195623","HDX (0.195623) UGP2"
"35756","1135.11681609","0.210234",,"0.210234","HDX (0.210234) MAP7","false","0.210234","HDX (0.210234) MAP7"
"35757","2.0","0.194968",,,"FAM188A (0.194968) PKN2","false","0.194968","FAM188A (0.194968) PKN2"
"35758","33474.8009438","0.175542",,"0.175542","GOT2 (0.175542) SCN1B","false","0.175542","GOT2 (0.175542) SCN1B"
"35759","34877.94146952","0.189724",,"0.189724","GOT2 (0.189724) VPS4B","false","0.189724","GOT2 (0.189724) VPS4B"
"35760","5106.89673093","0.178138",,"0.178138","FAM193A (0.178138) INTS6","false","0.178138","FAM193A (0.178138) INTS6"
"35761","3319.10326907","0.183663",,"0.183663","FAM193A (0.183663) SCAF8","false","0.183663","FAM193A (0.183663) SCAF8"
"35762","4.0","0.176389",,,"FAM198B (0.176389) SEMA3C","false","0.176389","FAM198B (0.176389) SEMA3C"
"35763","4034.80531007","0.185997",,"0.185997","FAM199X (0.185997) WDFY2","false","0.185997","FAM199X (0.185997) WDFY2"
"35764","3351.6152056","0.187701",,"0.187701","FAM199X (0.187701) NBEAL1","false","0.187701","FAM199X (0.187701) NBEAL1"
"35765","1309.08045602","0.196325",,"0.196325","FAM199X (0.196325) LPP","false","0.196325","FAM199X (0.196325) LPP"
"35766","8426.0","0.185579",,"0.185579","RNF26 (0.185579) TMEM106C","false","0.185579","RNF26 (0.185579) TMEM106C"
"35767","8426.0","0.175284",,"0.175284","FAM210A (0.175284) PTCD2","false","0.175284","FAM210A (0.175284) PTCD2"
"35768","5828.04974228","0.174852",,"0.174852","FAM212A (0.174852) NEDD9","false","0.174852","FAM212A (0.174852) NEDD9"
"35769","2634.38713651","0.183721",,"0.183721","FAM212A (0.183721) MCL1","false","0.183721","FAM212A (0.183721) MCL1"
"35770","8426.0","0.188969",,"0.188969","FAM213B (0.188969) TRPA1","false","0.188969","FAM213B (0.188969) TRPA1"
"35771","16848.0","0.203251",,"0.203251","TRPA1 (0.203251) TSHZ2","false","0.203251","TRPA1 (0.203251) TSHZ2"
"35772","8426.0","0.215845",,"0.215845","FAM214A (0.215845) ZBTB16","false","0.215845","FAM214A (0.215845) ZBTB16"
"35773","8426.0","0.175971",,"0.175971","FAM214B (0.175971) R3HDM4","false","0.175971","FAM214B (0.175971) R3HDM4"
"35774","10639.78373713","0.179797",,"0.179797","ODF3L1 (0.179797) RCAN1","false","0.179797","ODF3L1 (0.179797) RCAN1"
"35775","8426.0","0.18034",,"0.18034","ODF3L1 (0.18034) TBC1D8","false","0.18034","ODF3L1 (0.18034) TBC1D8"
"35776","3466.16407029","0.180482",,"0.180482","ODF3L1 (0.180482) PPP2CA","false","0.180482","ODF3L1 (0.180482) PPP2CA"
"35777","1093.2270414","0.187553",,"0.187553","ODF3L1 (0.187553) TNFRSF12A","false","0.187553","ODF3L1 (0.187553) TNFRSF12A"
"35778","20907.58676966","0.190324",,"0.190324","ODF3L1 (0.190324) ZFYVE27","false","0.190324","ODF3L1 (0.190324) ZFYVE27"
"35779","2837.84777834","0.200875",,"0.200875","ODF3L1 (0.200875) PARS2","false","0.200875","ODF3L1 (0.200875) PARS2"
"35780","7058.57276554","0.250197",,"0.250197","ODF3L1 (0.250197) PLK3","false","0.250197","ODF3L1 (0.250197) PLK3"
"35781","13019.87707555","0.256081",,"0.256081","ODF3L1 (0.256081) ZBTB21","false","0.256081","ODF3L1 (0.256081) ZBTB21"
"35782","11066.20770931","0.175059",,"0.175059","GRPEL2 (0.175059) ZNF566","false","0.175059","GRPEL2 (0.175059) ZNF566"
"35783","10030.5822502","0.175616",,"0.175616","GRPEL2 (0.175616) KLHL11","false","0.175616","GRPEL2 (0.175616) KLHL11"
