"SUID","EdgeBetweenness","interaction","MI sano","MI_","MI_enfermos","name","selected","shared interaction","shared name"
"40816","49.55042735","0.171779",,,"0.171779","NGDN (0.171779) PARP2","false","0.171779","NGDN (0.171779) PARP2"
"40817","68.23015873","0.17286",,,"0.17286","NGDN (0.17286) RBM23","false","0.17286","NGDN (0.17286) RBM23"
"40818","52.00570132","0.183727",,,"0.183727","NGDN (0.183727) TINF2","false","0.183727","NGDN (0.183727) TINF2"
"40819","39.63167534","0.184682",,,"0.184682","NGDN (0.184682) TM9SF1","false","0.184682","NGDN (0.184682) TM9SF1"
"40820","7.61071429","0.200245",,,"0.200245","NGDN (0.200245) PSMB5","false","0.200245","NGDN (0.200245) PSMB5"
"40821","35.27728412","0.201394",,,"0.201394","NGDN (0.201394) SUPT16H","false","0.201394","NGDN (0.201394) SUPT16H"
"40822","19.28037518","0.253432",,,"0.253432","NGDN (0.253432) TOX4","false","0.253432","NGDN (0.253432) TOX4"
"40823","5.975","0.262154",,,"0.262154","NGDN (0.262154) PRMT5","false","0.262154","NGDN (0.262154) PRMT5"
"40824","5.06666667","0.177137",,,"0.177137","SUPT16H (0.177137) TMEM55B","false","0.177137","SUPT16H (0.177137) TMEM55B"
"40825","6.86290727","0.307337",,,"0.307337","SUPT16H (0.307337) TOX4","false","0.307337","SUPT16H (0.307337) TOX4"
"40826","1400.0","0.160469",,,"0.160469","CHD8 (0.160469) HECTD1","false","0.160469","CHD8 (0.160469) HECTD1"
"40827","121.42857143","0.163112",,,"0.163112","CHD8 (0.163112) METTL3","false","0.163112","CHD8 (0.163112) METTL3"
"40828","458.93910607","0.16431",,,"0.16431","CHD8 (0.16431) GMPR2","false","0.16431","CHD8 (0.16431) GMPR2"
"40829","69.88214286","0.165054",,,"0.165054","CHD8 (0.165054) DAD1","false","0.165054","CHD8 (0.165054) DAD1"
"40830","112.92857143","0.166092",,,"0.166092","CHD8 (0.166092) TTC5","false","0.166092","CHD8 (0.166092) TTC5"
"40831","81.95530303","0.170747",,,"0.170747","CHD8 (0.170747) PSMB5","false","0.170747","CHD8 (0.170747) PSMB5"
"40832","474.37799569","0.177556",,,"0.177556","CHD8 (0.177556) TM9SF1","false","0.177556","CHD8 (0.177556) TM9SF1"
"40833","91.95757576","0.193342",,,"0.193342","CHD8 (0.193342) RAB2B","false","0.193342","CHD8 (0.193342) RAB2B"
