hs1	111499429	111503760	hs1	182598623	182604408
hs8	133036724	133103054	hs8	48917690	48921740
hs15	72751369	72785846	hs15	51447711	51622833
hs10	111077163	111080907	hs10	110919547	111013667
hs10	110919547	111013667	hs10	38094336	38125544
hs11	67266410	67286556	hs11	95976598	96343180
hs11	129375940	129452279	hs11	64823387	64844569
hs11	129375940	129452279	hs11	34478793	34513805
hs11	129375940	129452279	hs11	45921621	45929096
hs11	129375940	129452279	hs11	61299451	61342596
hs13	110148963	110307149	hs13	110305812	110513027
hs10	30012800	30115494	hs10	70478821	70568449
hs10	114294824	114404756	hs10	97222173	97292673
hs7	151085831	151144436	hs7	6009245	6023834
hs1	196651878	196747504	hs1	71395940	72282734
hs1	196651878	196747504	hs1	196774795	196795406
hs1	196651878	196747504	hs1	196819757	196832189
hs8	140520156	140635619	hs8	28890394	29064764
hs5	168548495	168579600	hs5	134601144	134649271
hs2	37099210	37157065	hs2	203014879	203226378
hs3	188153284	188890671	hs3	114338094	115147271
hs3	188153284	188890671	hs3	196347662	196432474
hs5	96935394	97037515	hs5	168548495	168579600
hs15	84655129	84658563	hs15	77041404	77083984
hs17	42865922	42874369	hs17	55392613	55421992
hs10	70098223	70132934	hs10	95311771	95561414
hs2	61177418	61191203	hs2	61145068	61164829
hs1	222668013	222713210	hs1	231241207	231277973
hs19	19515736	19529054	hs19	10832438	10836318
hs19	19515736	19529054	hs19	9827892	9830115
hs19	19515736	19529054	hs19	7926718	7943920
hs7	65873267	65959563	hs7	76326794	76359031
hs16	88874858	88977204	hs16	49487524	49857919
hs2	36531805	36646087	hs2	63840940	63891562
hs9	110048598	110172512	hs9	109780309	110172512
hs19	15353385	15379798	hs19	40069152	40090938
